parcelid,lf1,lf2,lf3,lf4,lf5,lf6,lf7,lf8,lf9,lf10 
17201051,-0.9023,-0.5574,-0.1878,-0.3694,0.3054,-1.6349,4.5509,2.8309,-0.0003,-1.5933
13094800,-1.0060,0.1075,-1.0631,2.6489,1.5269,3.3381,1.9047,-0.4180,-0.6359,1.9611
12550991,-1.0376,0.3983,-1.2726,0.5003,-0.4857,-0.8067,1.4325,0.7115,-1.2370,2.0915
14506867,-0.8234,-1.1794,0.1346,-0.5623,1.2700,-0.8937,-2.5177,0.4677,0.0826,0.5396
12643537,-0.8950,-1.0732,0.1777,-0.2090,0.4704,0.3197,0.1843,-0.2413,0.7753,3.0489
11590494,-0.9408,1.7174,1.1334,-0.2654,0.4847,-1.3163,-0.7841,-1.2457,0.1503,-0.6053
12399872,-0.8938,-0.3171,-0.4069,-0.4167,0.8461,-1.1776,-2.6264,1.0452,-0.0686,-0.4329
11145131,-0.9174,-0.3677,-0.3488,-0.4981,0.3404,8.1584,4.8997,7.1034,14.0564,-3.9584
12562495,-0.8701,-1.3143,0.3338,-0.4049,0.5381,-1.6012,-3.5965,1.4380,-0.2975,0.0910
12610270,-0.9889,-0.0454,-0.6055,1.0309,-1.6727,-0.4169,-1.7625,-0.1951,0.2336,-0.2227
12918117,-0.9174,-0.3606,-0.4004,0.0601,0.0920,-1.2816,0.3923,0.3756,2.8822,-2.0128
14369509,-0.8855,-0.9524,0.0844,-0.3879,0.4268,18.1709,-3.6630,1.1288,-1.3480,-0.1158
12003266,-0.8706,-0.7471,0.1283,-0.1677,0.0304,-1.1060,0.3656,0.0454,-0.9791,-0.2298
11127219,-0.9410,0.3510,-0.8136,-0.3267,0.0263,-1.1996,-0.5432,-1.0349,0.3637,0.5556
12804224,-1.1020,-0.1107,-1.0109,0.0474,-0.3220,-1.7676,4.6838,3.7694,-4.7838,2.7356
14215170,-0.8735,-0.9525,-0.0455,-0.0953,0.4160,-1.1799,-2.6434,0.5461,0.5091,0.3433
12098116,-0.9841,0.1132,-0.9230,0.1456,0.6128,-1.3648,1.0414,0.9820,1.8893,-1.0779
12988908,-0.8278,-1.8204,0.7630,0.0705,1.1926,0.0813,-3.1290,2.6387,-0.4597,1.2989
12203625,-1.2525,13.1196,12.7121,0.3437,0.9845,-1.1100,2.8747,-1.3499,0.0546,2.1902
14496938,-0.8975,-0.2162,-0.4622,-0.4140,0.4868,-1.0490,-0.3886,-0.1094,0.6436,1.0157
12946701,-0.9898,-0.0896,-0.4891,-0.2371,0.4655,-0.4161,2.5299,2.1784,-1.5519,1.1136
12018495,-0.9779,0.5004,-0.8101,0.0623,-0.1531,-0.9323,1.3363,-1.2000,-0.5112,-0.2215
12946764,-0.9953,-0.1396,-0.4523,-0.2269,0.5154,-0.2761,3.0035,2.5795,-1.8251,1.4334
12920826,-0.9748,0.2921,-1.0340,2.4782,-0.3285,-1.1304,4.0122,0.7295,-0.6757,1.3138
13044607,-1.0396,0.4345,-1.2966,7.0229,-0.1421,-2.0294,2.6036,1.3636,-2.9338,-3.4285
14448665,-0.9685,0.4370,-0.7874,-0.4512,-0.1405,-1.4437,-0.9167,-1.0234,-0.1276,-0.3221
14664391,-0.8921,-0.7975,-0.0223,-0.3806,0.3792,-1.3045,-3.1764,0.7635,0.6935,-0.3229
14714241,-0.9668,0.2500,-0.6378,-0.5321,-1.4663,-1.4259,1.4569,-0.0928,0.1768,3.4642
10869506,-0.9197,-0.1499,-0.4686,-0.3502,0.1802,-1.5451,-0.0580,0.9657,2.1115,-0.6018
13845459,-0.9147,-0.4441,-0.3525,0.1084,0.0986,11.1396,-0.3157,0.7774,-1.6462,0.1679
12266590,-1.0166,0.8454,-0.5708,-0.4105,-0.2958,-2.8006,1.4183,-1.8976,-1.0071,-0.7500
10747123,-0.9577,-0.1471,-0.1396,-0.0462,0.0782,-0.4614,1.0051,-1.5191,1.0124,1.1046
12894653,-0.8977,-0.6648,-0.1138,-0.3744,0.3385,-0.4129,1.5197,6.2845,-3.3865,-0.3518
14363703,-1.0316,2.6468,1.8597,6.5686,-0.3942,-1.2275,-1.4042,-0.2524,0.8613,1.1660
12855123,-0.9666,2.3021,4.8569,0.1540,3.1681,-1.6209,-2.2561,0.7462,0.5028,1.0688
13077298,-0.8339,-1.1652,0.1094,-0.5310,1.8869,-0.7745,-4.4989,2.7675,1.0367,1.9713
11878827,-0.9807,0.8605,-0.4699,-0.3394,-0.2904,-1.9790,1.7605,-2.5871,-1.0540,0.8526
14474178,-0.9089,-0.4024,-0.2946,-0.3621,0.2578,-0.5764,-6.7106,4.1991,-1.2348,1.1183
17211544,-0.9176,-0.3566,-0.4030,0.0593,0.0911,-0.9747,1.0919,2.2394,2.7148,-2.1418
11310890,-1.3261,4.1993,-0.3232,-1.1193,-29.1603,-0.9650,2.0336,-2.7728,-1.0590,0.9578
11886628,-0.9557,0.3707,-0.7601,-0.5443,-0.5104,-0.7792,-0.7093,-0.7609,-0.3175,-0.4053
17164573,-1.0312,2.6756,1.4226,-0.1849,0.1475,-1.3499,5.8462,3.4550,-2.4383,-0.7417
13039472,-0.9997,-0.0422,-0.6574,2.0772,-0.0210,-1.3405,-0.1775,-0.6648,0.6494,0.6204
13058170,-0.8255,-1.2848,0.1822,-0.5471,2.0336,-0.7204,-4.0950,2.9334,-0.1776,1.1117
12121608,-0.9550,-0.0487,0.0707,-0.3521,-0.8172,-1.3775,1.7190,-0.9563,-0.0608,-0.2658
12710013,-0.9717,0.5019,-0.9346,0.1251,0.1176,-0.5851,-0.4800,-1.7099,0.4755,-0.6042
12274201,-0.9410,0.3510,-0.8136,-0.3267,0.0263,-1.4576,0.3646,-2.5033,-0.5587,-0.8774
11115487,-1.0281,-0.1235,-0.4498,0.5880,0.0681,-1.2408,0.6375,-1.1593,1.5318,1.4055
11740707,-0.9437,0.3467,-0.8434,-0.1485,-0.0374,-1.1394,0.7143,-2.3152,0.4678,0.0849
13835558,-0.8848,-0.1809,-0.5252,-0.2687,0.0764,-1.3100,-0.1841,-0.3930,-0.8168,0.1817
13086366,-0.8674,-1.3767,0.3767,-0.4078,0.5572,-0.5245,-3.6322,4.8747,2.3354,7.9779
12209510,-1.2262,27.3416,28.2189,1.8387,2.8178,-1.2137,2.1371,-4.1389,1.6735,3.8677
11835112,-0.9028,0.6839,-1.1792,-1.0924,0.1505,-0.6881,2.6651,-0.0016,-1.3106,0.5049
11602926,-0.9687,-0.6843,0.1020,-0.5278,-2.5754,-1.6261,0.9992,-1.0548,0.1817,0.4572
12449073,-0.9333,-0.4002,-0.2614,0.8320,-0.5861,1.0915,1.8429,0.3157,1.8970,-0.5658
10848479,-0.9119,-0.3326,-0.3427,-0.3588,0.2363,-1.2494,0.8854,-0.7943,-1.2410,0.9476
12229696,-0.9660,0.4391,-0.8468,-0.4829,-0.0788,-2.0132,2.1103,0.5956,-1.6208,-1.1819
14619451,-0.9405,0.6920,0.2966,-0.7753,-0.8335,-1.4094,-1.7030,0.0855,-0.1316,0.6574
12307505,-0.9716,0.3333,-0.9554,-0.3946,0.0933,0.1443,-1.6978,-2.2026,-1.3909,-4.3946
14254590,-0.8241,-0.7187,-0.2504,-0.6002,2.0397,-1.1096,-3.6890,1.6164,0.0124,-0.1685
13867360,-0.9675,0.6301,-0.6417,-0.2495,0.0298,-0.0402,0.2029,-1.6129,0.1303,-0.5554
11744865,-0.9264,-0.0909,-0.5143,-0.3313,0.0642,-1.4387,-0.4124,-0.2283,-1.1385,-0.9413
12953910,-1.0232,0.3480,-1.3107,1.7755,2.3542,-0.6880,1.7172,-0.0448,-1.0044,0.7126
12710764,-0.9885,0.5485,-0.9021,-0.0155,-0.0147,-0.6984,-0.0985,-2.1035,0.2853,-0.6794
13959968,-0.9278,-0.0487,-0.5817,-0.1084,0.0628,-0.8201,-0.9940,1.5885,-1.1580,-0.6145
10915275,-0.9199,0.9754,2.4620,-0.1237,0.0611,-1.1613,0.2152,-1.4925,0.4630,-0.0978
14379808,-0.9420,0.0060,-0.5611,-0.3090,-0.0160,-1.4510,-1.3393,-0.4531,-0.1395,-0.8720
12783352,-0.9645,0.2782,-0.3684,-0.2186,-0.0993,-0.1413,-1.4950,1.3558,-0.4067,0.5645
11448881,-0.8964,-0.8167,0.1800,-0.3227,0.0415,-0.3819,-0.0396,-1.5734,0.3541,0.1723
13853859,-0.8468,-0.4902,-0.2392,-0.4549,0.4802,-1.8995,-2.7369,1.1964,-0.5063,-0.1649
12712539,-0.8392,-0.9754,0.0085,-0.5305,1.1024,-1.5342,-1.8509,-0.2622,0.2152,0.2787
11759296,-0.9744,0.7794,-0.3444,-0.1337,-0.4253,-1.0059,1.8432,0.6097,-0.8743,-1.1581
12814884,-0.9996,-0.1782,-0.4238,-0.2189,0.5541,-0.2559,3.1369,2.3304,-1.7749,1.5282
11972742,-0.9662,0.3868,-0.9094,-0.3775,0.0023,-1.4854,0.7055,-0.8044,-0.0013,-1.2054
11210592,-0.8671,-1.3829,0.3810,-0.4081,0.5592,-1.6042,-2.8252,0.7697,-0.6043,0.2184
10765841,-0.9220,1.9526,0.3716,-0.5462,-2.4421,-1.3502,1.0169,0.1432,-2.1901,-0.6623
11037451,-0.9482,0.3395,-0.8936,0.1518,-0.1446,-1.3531,0.9541,0.9479,2.7961,-0.8403
12287390,34.3474,-0.4451,-0.5655,-0.9100,0.7486,14.8972,-2.5297,-0.5237,-1.1080,-2.2245
17080372,-1.0058,1.6875,0.2105,1.9991,0.0992,-0.3792,0.9674,-1.2499,-0.4527,-0.9574
12082572,-0.8849,-0.4679,-0.3553,-0.3964,1.1457,-1.0692,-1.4882,0.8229,-1.7770,1.6168
12068628,-0.9403,-0.4610,-0.4268,0.1864,0.0762,-0.3053,1.1829,-2.2392,-0.1699,0.0759
11607485,-0.9719,-0.3928,0.1294,-0.5618,-2.1221,-1.5578,0.9759,-1.1356,0.1469,0.5282
11544927,-0.3796,0.5272,-0.9851,-1.1830,1.8765,-1.5959,0.2965,-1.3254,0.4569,-1.4999
17137916,-0.9450,1.5590,0.4125,-0.2951,0.3423,-1.7869,1.2092,-0.6513,-0.5822,1.9032
12942554,-0.9054,-0.4857,-0.2372,-0.3660,0.2834,-0.3493,-1.6389,1.7141,-0.1663,0.2470
14058610,-0.9535,0.1640,0.7809,0.2824,-1.1113,-0.5956,-1.7561,1.7850,1.3195,-0.8039
14720061,-0.8970,-0.9779,-0.0431,0.4024,0.1466,-1.3730,-3.0628,0.7154,0.4223,-0.2941
12196590,21.5650,0.7670,-1.0028,-1.5064,2.5583,16.0806,-2.0646,0.2268,-0.8203,0.0559
14505074,-0.9544,-0.5742,-0.0978,2.5314,-0.6930,-1.1787,1.1018,-1.4041,0.6085,0.5056
12822006,-0.8600,-1.5502,0.4963,-0.4160,0.6106,22.2699,0.3521,-0.9337,-0.0849,0.7378
12333407,-0.9186,0.1157,-0.7864,-0.1614,0.1794,0.2544,1.9138,1.0080,-0.4509,0.0121
12895934,-0.8990,-0.6364,-0.1333,-0.3731,0.3297,-0.7507,-2.2368,0.4781,-1.0943,0.7557
14100077,-0.9009,-0.5906,-0.1649,-0.3709,0.3157,-1.2370,2.0026,5.6417,2.5899,-2.8471
11082069,-0.9157,-0.2441,-0.4036,-0.3547,0.2091,-0.7991,1.2957,0.4247,-1.0765,-0.2917
12831359,-0.9410,0.3510,-0.8136,-0.3267,0.0263,19.3554,-1.4684,-0.7678,-0.9511,-1.6603
11468939,-0.9525,-0.0138,-0.1788,-0.4425,0.0032,-0.9395,-1.0576,1.1545,-0.3038,0.1410
14486628,-0.9901,0.6340,-0.8782,-0.5598,-1.9321,-1.4461,2.1476,-0.6465,0.7846,4.4261
12029774,-0.9069,0.0543,-0.5798,-0.0912,0.1548,-1.0536,2.6244,0.9526,-1.7895,-0.3950
14268927,-0.9498,0.1076,-0.6713,-0.3106,0.1943,-1.3182,0.9038,-1.0279,1.6086,-1.2276
12808690,-0.7982,-3.0019,1.4965,-0.4841,1.0568,0.0321,-3.1870,0.8350,-0.9316,-0.6483
14244124,-0.8668,-1.3915,0.3869,-0.4085,0.5618,-1.0375,-1.9004,0.4305,-0.2846,-0.2035
11286161,-1.0138,1.1191,-0.3211,-0.5661,-5.7217,-0.6152,1.6122,-1.7259,0.4052,2.1030
12335530,-0.9410,0.3510,-0.8136,-0.3267,0.0263,-1.7669,-1.0180,-0.6264,-0.1453,-1.4007
14599496,-0.9459,-0.3421,-0.4902,2.3012,0.1876,-0.3594,-1.2982,-0.0759,0.7992,0.7319
12582092,-0.9542,-0.3680,-0.5010,0.2925,0.1432,-1.7725,-0.6497,-1.1590,0.2149,1.7861
10834436,-0.9410,0.3510,-0.8136,-0.3267,0.0263,-1.4811,0.7717,-1.1304,0.2961,0.0931
11069142,-1.0308,0.8619,-1.0561,-0.8825,-1.9549,-1.2423,3.8088,0.8472,1.0477,-1.0080
14083582,-0.8880,-0.8928,0.0433,-0.3851,0.4085,-1.1586,-1.9238,0.0656,0.0118,-0.8965
11704552,-0.9410,0.3510,-0.8136,-0.3267,0.0263,-1.1021,3.5251,5.1694,-1.5142,1.8736
14110831,-0.9108,-0.3588,-0.3246,-0.3601,0.2444,-0.9064,-5.0038,2.0478,-0.7158,0.1143
11178118,-0.6026,-9.2113,11.2873,0.1827,-4.6141,-1.8068,-0.9688,-1.0674,2.6639,-0.5058
12224472,-1.0123,0.6328,-1.0690,-0.8812,-1.9007,-1.7358,0.1479,-0.5426,-0.5814,-2.3461
12643413,-0.8960,-1.0411,0.1554,-0.2116,0.4604,0.2823,0.2493,-0.3440,0.7580,3.0046
11038052,59.3187,2.0125,-1.5766,0.3215,-0.7535,47.6917,2.7130,-1.1614,1.1358,-1.6454
11458863,-0.9234,1.0303,0.3611,-0.8122,0.3387,0.0027,-1.1341,-0.4539,-0.9435,-1.9110
10784128,13.4034,-0.0965,-0.6553,0.0271,1.2162,9.6756,1.3131,0.8674,-1.1779,-0.3465
11212307,-0.8513,-1.7538,0.6366,-0.4255,0.6732,-1.7725,-2.8427,0.8934,-0.5993,0.4568
13876358,-0.9045,-1.0299,0.3901,-0.0650,-0.0689,-1.3659,0.4050,-0.9408,0.1175,-1.6417
12558395,-0.9533,1.4235,1.2082,-0.3136,0.5682,-0.8386,-5.0282,2.5813,-1.0647,0.3082
10820282,-0.9580,0.5222,-0.8979,-0.6348,-0.6118,-1.8842,2.4025,-1.6785,-0.2021,-0.2205
14428094,-0.9503,-0.1035,-0.6021,-0.1270,0.1766,-0.9509,0.6879,-1.2965,1.9260,0.4720
13947871,-0.9750,0.3127,-1.1167,0.3449,0.9516,-1.4957,1.5698,-1.6348,0.3167,0.4284
17118603,-0.7901,-3.6786,2.8200,0.1298,-0.5239,-1.4802,-1.6449,0.5288,1.1643,-0.1199
12598897,-1.0444,0.2937,-1.2043,0.8087,-1.2074,-0.9075,-0.2671,1.2128,0.6293,-1.1404
12687179,-1.0111,0.9903,-0.4254,-0.0190,-0.6249,-0.6867,-0.2159,-1.9079,0.3274,-0.5095
10850105,-0.9838,-0.0461,-0.5974,-0.4477,-0.1871,0.2340,0.8571,0.1065,0.9091,-2.0914
14119701,-0.9410,0.3510,-0.8136,-0.3267,0.0263,1.5591,1.6476,2.2799,3.3922,-3.9743
17293420,-0.9826,0.4510,-0.4232,0.1379,-1.1986,-0.7261,-0.8978,-0.7850,0.3192,0.5555
13939600,-0.9152,-0.2558,-0.3955,-0.3552,0.2128,-0.9503,-1.9467,-0.1588,0.0325,-0.9943
17160906,17.6261,-2.9739,2.4784,0.4629,-0.8485,16.0117,-0.3411,-0.4950,1.1341,-0.1650
11286278,-0.9539,-0.0022,-0.6041,-0.2364,-0.5103,-0.4789,1.7167,-2.2625,1.2441,2.5811
17159771,-1.0682,-0.1864,-0.9917,-0.7263,-0.0127,-0.4841,-1.5422,-0.6790,-1.3656,-2.2141
13936111,-0.9653,0.0353,-0.7233,0.0481,-0.0336,-1.7165,0.6475,0.1863,-0.8318,-0.0890
12504730,-1.0931,0.4083,-1.3999,0.0762,-0.3665,0.2259,2.2992,2.0509,-1.8473,4.3647
17119159,-0.9214,-0.1102,-0.4959,-0.3484,0.1680,-1.5628,-0.9157,0.0059,0.7706,-0.0997
17291481,-0.9684,0.3975,-0.8879,-0.1214,0.0255,-0.5370,0.6455,-1.6013,0.5369,0.5397
12730556,-0.8334,-1.1733,0.1143,-0.5321,1.8968,-0.2703,-5.9057,2.5770,-1.0634,0.2252
11855718,-0.9230,-0.7071,0.1047,0.1071,0.1192,-1.4829,-0.7351,-1.1421,-0.0167,-0.9892
12668783,-1.0341,2.3476,0.7425,-0.0781,-0.3128,-1.8343,4.0622,-0.0191,-1.5264,1.2368
12912982,-0.9881,0.4211,-1.0353,1.8848,-0.2634,-0.9909,3.1737,0.4516,-0.7111,1.2227
14637201,-0.9492,0.3378,-0.9054,0.2230,-0.1700,-0.9416,-0.1386,-0.2298,0.7485,1.0030
11561967,-0.9742,0.3603,-0.9319,0.1451,-0.0321,-0.9342,0.7455,-1.4261,0.7382,1.7253
14749304,-0.9873,0.5117,-0.5227,0.2418,-1.3601,-1.7721,0.6324,-0.7241,0.9570,-0.4475
12648077,-0.9410,0.3510,-0.8136,-0.3267,0.0263,-0.6607,0.9167,-1.6932,-0.8658,-0.4868
10728399,-0.8474,-0.2681,-0.4933,-1.4453,0.4116,-1.4337,-2.1378,-0.6416,-0.0452,-0.1853
14008449,-0.8761,-1.2880,0.5960,-0.3296,0.0322,-0.5989,-2.0374,-0.3522,0.1301,-0.2388
14707282,-0.9664,0.2515,-0.6405,-0.5289,-1.4432,-1.4143,1.4997,-0.1835,0.1754,3.3831
14108170,-0.9589,-0.1144,-0.7343,0.0701,2.0299,-0.9644,1.9118,-1.1260,-1.0152,1.0607
12915095,-0.8676,-1.3719,0.3734,-0.4076,0.5558,-1.5805,-2.2985,0.4481,-0.1784,-0.1454
14463265,-0.9208,-0.2585,-0.4602,0.0075,0.0815,-0.6616,-0.2671,-0.1819,-0.8279,0.5552
14022972,-0.9168,-0.2171,-0.4223,-0.3534,0.2008,-0.7684,0.4957,-1.5838,-1.6246,0.7680
13029243,-0.9842,0.5836,-0.9216,-0.1867,-0.0117,-0.2567,-0.6208,0.0502,-0.7071,0.8846
14669425,-0.9193,-0.3721,-0.3202,-0.3480,0.9863,-1.5004,0.3480,-0.8454,-0.6646,0.4960
11877193,-0.9554,1.9121,0.8226,-0.1586,-0.0361,-1.9156,1.5053,-2.5740,-0.7432,0.3196
17144678,-0.8870,0.6078,-1.0932,-1.3674,0.1358,-2.3795,2.3500,-2.2292,1.8060,1.6521
14127397,-0.9771,-0.6231,-0.4208,-0.0522,0.6877,-0.8686,-1.6812,-0.1059,0.1605,-0.0973
11997355,-0.9834,0.3045,-0.8812,0.4274,0.0435,-0.8106,0.8494,-1.2160,0.8128,-0.7937
10797228,-0.9614,0.3924,-0.8876,-0.0630,-0.1412,-1.7319,1.1443,1.2663,1.7192,-2.7210
12060270,-1.0063,0.4397,-0.3870,-0.2413,-3.4367,-1.5588,-0.5673,-0.4859,-0.1044,0.6228
11789981,-1.0224,2.0903,0.8979,1.1680,-0.4422,-1.0494,1.8245,-1.9919,-0.1414,0.2175
13994443,-0.9738,0.4641,-0.8668,1.3756,-0.0403,-0.7591,1.8446,-1.1211,-1.5569,0.9667
12741913,-0.8289,-3.3236,2.4779,-0.2307,-0.4529,-1.5887,0.4393,-1.2425,0.8196,3.0094
13922998,-1.0007,0.6597,-0.6606,-0.0883,0.6452,-1.5208,1.4861,-1.0095,-0.1654,-0.0190
10778991,-0.9410,0.3510,-0.8136,-0.3267,0.0263,-1.1884,-2.5328,-1.4751,-1.3446,-3.9884
11037779,31.3863,0.8015,-1.0554,0.6069,-0.4936,24.9833,1.3987,-1.2248,0.7737,-0.6621
11822251,25.8673,0.1376,-0.4868,0.7866,-0.1331,18.6511,2.0121,1.4037,1.5593,-1.2252
14645087,-0.9182,-0.3363,-0.4146,0.0475,0.0895,9.0184,-2.9448,0.3940,-0.2095,0.4724
12892344,-0.9832,0.8364,-0.3469,-0.0932,0.0897,-0.2360,1.2335,-1.6479,-0.4913,-1.8893
11195985,-0.9151,-0.3501,-0.3364,-0.3215,0.2112,0.1376,-5.5816,3.0773,-0.5281,1.9317
14649591,-0.9410,0.3510,-0.8136,-0.3267,0.0263,-1.0244,-0.9147,-0.9712,0.0707,-0.7170
14234403,-0.9130,-0.3063,-0.3608,-0.3576,0.2283,-2.3177,-0.0701,-1.4454,-0.7937,-0.7494
13076454,-0.9562,0.6057,0.3013,-0.4679,0.2558,-1.2526,0.1901,0.7562,-0.4192,0.3221
12986799,-1.1590,-1.9036,0.4784,2.3594,1.2865,-0.9034,8.3129,6.9676,-9.5250,-0.7984
12394353,-0.9801,0.5208,-0.9897,-0.6583,-0.7677,-0.0029,-1.4200,-2.2402,-1.2367,-3.9892
14605483,-0.8476,-0.9720,-0.0082,-0.5050,1.6498,-0.1463,-1.4993,0.6156,1.2007,1.6204
12395990,-0.9581,0.3411,-0.8930,-0.3647,0.0638,-0.0742,-0.4460,-1.8324,-0.8114,-2.8493
14350285,-0.9410,0.3510,-0.8136,-0.3267,0.0263,-1.7851,-1.4669,-0.8515,-0.0704,-0.4481
